company,industry,years_in_business,funding,employees,digital_gap_score,revenue,website
Acme Software,B2B Software,18,,42,20,,
Northstar Consulting,Business Services,14,,28,18,,
Bright Dental Group,Healthcare,22,,65,12,,
Vertex Manufacturing,Manufacturing,31,Series A,180,16,,
CloudPeak Systems,B2B Software,7,Seed,55,8,,
Oakridge Accounting,Professional Services,25,,19,23,,
Greenfield Logistics,Logistics,16,,73,17,,
Summit IT Services,IT Services,12,,34,21,,
Harbor Engineering,Engineering,28,,91,14,,
Pioneer Media,Marketing,9,Seed,22,19,Unknown,Unknown
